# Repository menu-input inventory, including worktree aggregate menus and plain gamble INI resources.
# repository<TAB>path<TAB>section<TAB>kind<TAB>component-type-or-submenu-name<TAB>control-name-or-submenu-file
assets	\u6708\u7709\u513f\u5916\u4f201.053/ini/ui/choose/choose.menu.ini	component2	control	ChooseTextButton	selectA
assets	\u6708\u7709\u513f\u5916\u4f201.053/ini/ui/choose/choose.menu.ini	component3	control	ChooseTextButton	selectB
assets	\u6c5f\u6e56\u4f59\u5c181.03/ini/ui/choose/choose.menu.ini	component2	control	ChooseTextButton	selectA
assets	\u6c5f\u6e56\u4f59\u5c181.03/ini/ui/choose/choose.menu.ini	component3	control	ChooseTextButton	selectB
assets	\u6c5f\u6e56\u4f59\u5c18\u4e8c/ini/ui/choose/choose.menu.ini	component2	control	ChooseTextButton	selectA
assets	\u6c5f\u6e56\u4f59\u5c18\u4e8c/ini/ui/choose/choose.menu.ini	component3	control	ChooseTextButton	selectB
assets	\u6f47\u6e58\u884c1.022/ini/ui/choose/choose.menu.ini	component2	control	ChooseTextButton	selectA
assets	\u6f47\u6e58\u884c1.022/ini/ui/choose/choose.menu.ini	component3	control	ChooseTextButton	selectB
assets	common/ini/ui/mobile/joystick/joystick.menu.ini	component1	control	Joystick	joystick
assets	common/ini/ui/mobile/skills/skills.menu.ini	component1	control	RoundButton	attackBtn
assets	common/ini/ui/mobile/skills/skills.menu.ini	component10	control	TextButton	fastBtn3
assets	common/ini/ui/mobile/skills/skills.menu.ini	component11	control	TextButton	fastBtn4
assets	common/ini/ui/mobile/skills/skills.menu.ini	component12	control	DragRoundButton	rightJumpBtn
assets	common/ini/ui/mobile/skills/skills.menu.ini	component2	control	RoundButton	sitBtn
assets	common/ini/ui/mobile/skills/skills.menu.ini	component3	control	DragRoundButton	skillBtn1
assets	common/ini/ui/mobile/skills/skills.menu.ini	component4	control	DragRoundButton	skillBtn2
assets	common/ini/ui/mobile/skills/skills.menu.ini	component5	control	DragRoundButton	skillBtn3
assets	common/ini/ui/mobile/skills/skills.menu.ini	component6	control	DragRoundButton	skillBtn4
assets	common/ini/ui/mobile/skills/skills.menu.ini	component7	control	DragRoundButton	skillBtn5
assets	common/ini/ui/mobile/skills/skills.menu.ini	component8	control	TextButton	fastBtn1
assets	common/ini/ui/mobile/skills/skills.menu.ini	component9	control	TextButton	fastBtn2
assets	common/ini/ui/dicegame/window.ini	<file>	resource	dicegame	window.ini
assets	common/ini/ui/fishgame/window.ini	<file>	resource	fishgame	window.ini
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component1	control	CheckBox	equipBtn
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component10	control	Item	goodsItem3
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component11	control	Item	magicItem1
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component12	control	Item	magicItem2
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component13	control	Item	magicItem3
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component14	control	Item	magicItem4
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component15	control	Item	magicItem5
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component2	control	CheckBox	goodsBtn
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component3	control	CheckBox	magicBtn
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component4	control	CheckBox	notesBtn
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component5	control	CheckBox	optionBtn
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component6	control	CheckBox	stateBtn
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component7	control	CheckBox	xiulianBtn
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component8	control	Item	goodsItem1
assets	jxqy2/ini/ui/bottom/bottom.menu.ini	component9	control	Item	goodsItem2
assets	jxqy2/ini/ui/buysell/buysell.menu.ini	component10	control	Item	item6
assets	jxqy2/ini/ui/buysell/buysell.menu.ini	component11	control	Item	item7
assets	jxqy2/ini/ui/buysell/buysell.menu.ini	component12	control	Item	item8
assets	jxqy2/ini/ui/buysell/buysell.menu.ini	component13	control	Item	item9
assets	jxqy2/ini/ui/buysell/buysell.menu.ini	component3	control	Button	closeBtn
assets	jxqy2/ini/ui/buysell/buysell.menu.ini	component4	control	Scrollbar	scrollbar
assets	jxqy2/ini/ui/buysell/buysell.menu.ini	component5	control	Item	item1
assets	jxqy2/ini/ui/buysell/buysell.menu.ini	component6	control	Item	item2
assets	jxqy2/ini/ui/buysell/buysell.menu.ini	component7	control	Item	item3
assets	jxqy2/ini/ui/buysell/buysell.menu.ini	component8	control	Item	item4
assets	jxqy2/ini/ui/buysell/buysell.menu.ini	component9	control	Item	item5
assets	jxqy2/ini/ui/choose/choose.menu.ini	component2	control	ChooseTextButton	selectA
assets	jxqy2/ini/ui/choose/choose.menu.ini	component3	control	ChooseTextButton	selectB
assets	jxqy2/ini/ui/equip/equip.menu.ini	component3	control	Item	item1
assets	jxqy2/ini/ui/equip/equip.menu.ini	component4	control	Item	item2
assets	jxqy2/ini/ui/equip/equip.menu.ini	component5	control	Item	item3
assets	jxqy2/ini/ui/equip/equip.menu.ini	component6	control	Item	item4
assets	jxqy2/ini/ui/equip/equip.menu.ini	component7	control	Item	item5
assets	jxqy2/ini/ui/equip/equip.menu.ini	component8	control	Item	item6
assets	jxqy2/ini/ui/equip/equip.menu.ini	component9	control	Item	item7
assets	jxqy2/ini/ui/goods/goods.menu.ini	component10	control	Item	item5
assets	jxqy2/ini/ui/goods/goods.menu.ini	component11	control	Item	item6
assets	jxqy2/ini/ui/goods/goods.menu.ini	component12	control	Item	item7
assets	jxqy2/ini/ui/goods/goods.menu.ini	component13	control	Item	item8
assets	jxqy2/ini/ui/goods/goods.menu.ini	component14	control	Item	item9
assets	jxqy2/ini/ui/goods/goods.menu.ini	component5	control	Scrollbar	scrollbar
assets	jxqy2/ini/ui/goods/goods.menu.ini	component6	control	Item	item1
assets	jxqy2/ini/ui/goods/goods.menu.ini	component7	control	Item	item2
assets	jxqy2/ini/ui/goods/goods.menu.ini	component8	control	Item	item3
assets	jxqy2/ini/ui/goods/goods.menu.ini	component9	control	Item	item4
assets	jxqy2/ini/ui/magic/magic.menu.ini	component10	control	Item	item7
assets	jxqy2/ini/ui/magic/magic.menu.ini	component11	control	Item	item8
assets	jxqy2/ini/ui/magic/magic.menu.ini	component12	control	Item	item9
